automobile;car;3.92
gem;jewel;3.84
journey;voyage;3.84
boy;lad;3.76
coast;shore;3.70
asylum;madhouse;3.61
magician;wizard;3.50
midday;noon;3.42
furnace;stove;3.11
food;fruit;3.08
bird;cock;3.05
bird;crane;2.97
implement;tool;2.95
brother;monk;2.82
brother;lad;1.66
crane;implement;1.68
car;journey;1.16
monk;oracle;1.10
cemetery;woodland;0.95
food;rooster;0.89
coast;hill;0.87
forest;graveyard;0.84
shore;woodland;0.63
monk;slave;0.55
coast;forest;0.42
lad;wizard;0.42
cord;smile;0.13
glass;magician;0.11
rooster;voyage;0.08
noon;string;0.08